prov;pob;sup;cast;pob_cast;cast_sup
Álava ;333940;3037;45;7420,888889;0,014817254
Albacete ;388270;14926;52;7466,730769;0,003483854
Alicante ;1879888;5817;73;25751,89041;0,012549424
Almería ;727945;8775;126;5777,34127;0,014358974
Asturias ;1018784;10603;24;42449,33333;0,00226351
Ávila ;157664;8050;29;5436,689655;0,003602484
Badajoz ;672137;21766;62;10840,91935;0,002848479
Baleares ;1171543;4991;28;41840,82143;0,005610098
Barcelona ;5743402;7733;104;55225,01923;0,013448856
Burgos ;357650;14022;91;3930,21978;0,006489802
Cáceres ;391850;19868;84;4664,880952;0,004227904
Cádiz ;1244049;7440;161;7727,012422;0,021639785
Cantabria ;582905;5321;28;20818,03571;0,005262169
Castellón ;585590;6636;58;10096,37931;0,008740205
Ceuta ;84202;18,5;11;7654,727273;0,594594595
Ciudad Real ;495045;19813;36;13751,25;0,001816989
Córdoba ;781451;13771;77;10148,71429;0,00559146
Cuenca ;196139;17140;175;1120,794286;0,010210035
Girona;761947;5910;35;21769,91429;0,005922166
Granada ;919168;12646;81;11347,75309;0,006405187
Guadalajara ;261955;12214;198;1323,005051;0,016210906
Guipúzcoa ;727121;1997;16;45445,0625;0,008012018
Huelva ;524278;10127;30;17475,93333;0,002962378
Huesca ;222687;15636;70;3181,242857;0,004476848
Jaén ;631381;13496;237;2664,054852;0,017560759
A Coruña;1121815;7950;14;80129,64286;0,001761006
La Rioja ;319914;5045;48;6664,875;0,009514371
Las Palmas ;1131065;4114;12;94255,41667;0,002916869
León ;456439;15580;47;9711,468085;0,003016688
Lleida;438517;12172;68;6448,779412;0,005586592
Lugo ;327946;9856;26;12613,30769;0,002637987
Madrid ;6779888;8027;67;101192,3582;0,008346829
Málaga ;1685920;7306;56;30105,71429;0,007664933
Melilla ;87076;12,3;9;9675,111111;0,731707317
Murcia ;1511251;11313;58;26056,05172;0,005126845
Navarra ;661197;10391;95;6959,968421;0,009142527
Ourense;306650;7273;18;17036,11111;0,002474907
Palencia ;160321;8052;25;6412,84;0,003104819
Pontevedra ;945408;4494;10;94540,8;0,002225189
Salamanca ;329245;12349;41;8030,365854;0,003320107
Santa Cruz de Tenerife ;1044887;3381;24;43536,95833;0,007098492
Segovia ;153478;6920;32;4796,1875;0,004624277
Sevilla ;1950219;14036;68;28679,69118;0,004844685
Soria ;88884;10306;121;734,5785124;0,011740734
Tarragona ;804664;6303;48;16763,83333;0,007615421
Teruel ;134176;14809;95;1412,378947;0,006415018
Toledo ;703772;15369;70;10053,88571;0,004554623
Valencia ;2591875;10807;63;41140,87302;0,005829555
Valladolid ;520649;8110;50;10412,98;0,006165228
Vizcaya ;1159443;2217;78;14864,65385;0,035182679
Zamora ;170588;10561;25;6823,52;0,0023672
Zaragoza ;972528;17274;183;5314,360656;0,010593956
